" ","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force","Persons Employed in Labour Force","Persons Unemployed in Labour Force","Not in Labour Force","Working Age Population","Labour Force Participation Rate","Unemployment Rate","Employment Rate","Total Labour Force"
"2013Q4",112.3,19.1,106.8,238.2,55.2,14.6,47.1,131.5,38.9,8.4,25.3,72.6,65.1,17.7,53.6,47.3,47.6,3.7,21.3,72.5,70.7,7.2,65.6,51.3,505.1,21.2,105.6,631.9,83.3,4.0,79.9,526.3,171.8,7.2,23.9,202.9,88.2,4.0,84.7,179.0,193.8,5.4,29.6,228.8,87.1,2.7,84.7,199.2,142.2,4.9,160.1,307.2,47.9,3.3,46.3,147.1,56.1,1.7,55.0,112.9,51.2,3.0,49.7,57.8,71.4,"..",79.9,152.2,47.5,1.2,46.9,72.3,759.5,45.3,372.5,1177.3,68.4,5.6,64.5,804.8,266.8,17.3,104.2,388.3,73.2,6.1,68.7,284.1,312.8,9.9,130.8,453.5,71.2,3.1,69.0,322.7
"2014Q1",105.4,21.1,105.4,231.9,54.6,16.7,45.4,126.5,41.1,5.7,25.8,72.6,64.5,12.1,56.6,46.8,52.4,4.9,24.5,81.9,70.0,8.6,64.0,57.3,504.6,26.8,106.9,638.3,83.3,5.0,79.1,531.4,171.3,6.9,24.0,202.2,88.2,3.9,84.7,178.2,196.3,4.3,25.0,225.6,88.9,2.1,87.0,200.6,148.7,6.2,160.5,315.4,49.1,4.0,47.1,154.9,56.5,2.0,56.9,115.3,50.7,3.4,49.0,58.5,70.0,1.3,77.7,149.0,47.9,1.9,47.0,71.3,758.6,54.2,372.8,1185.6,68.6,6.7,64.0,812.8,269.0,14.5,106.6,390.1,72.7,5.1,68.9,283.5,318.7,10.5,127.2,456.4,72.1,3.2,69.8,329.2
"2014Q2",107.5,18.2,113.3,239.0,52.6,14.5,45.0,125.7,38.1,5.8,30.9,74.8,58.7,13.2,51.0,43.9,53.7,3.9,26.0,83.6,68.9,6.8,64.2,57.6,509.3,21.4,108.0,638.7,83.1,4.0,79.7,530.7,167.9,7.1,24.1,199.1,87.9,4.1,84.3,175.0,198.0,3.8,30.3,232.2,86.9,1.9,85.3,201.8,142.1,6.9,163.8,312.9,47.6,4.7,45.4,149.0,61.3,1.3,55.6,118.3,53.0,2.1,51.9,62.7,69.2,"..",71.6,141.7,49.5,1.3,48.8,70.1,758.9,46.5,385.1,1190.5,67.7,5.8,63.7,805.4,267.4,14.2,110.6,392.2,71.8,5.0,68.2,281.5,320.9,8.7,127.9,457.5,72.0,2.6,70.1,329.6
"2014Q3",109.3,17.7,112.7,239.6,53.0,13.9,45.6,127.0,35.7,5.7,30.9,72.3,57.3,13.7,49.4,41.4,51.2,3.9,24.9,80.0,68.8,7.1,63.9,55.1,510.8,24.7,103.2,638.6,83.8,4.6,80.0,535.5,168.6,6.9,24.4,199.9,87.8,3.9,84.3,175.5,199.0,5.5,27.2,231.7,88.3,2.7,85.9,204.5,146.7,4.1,165.8,316.7,47.6,2.7,46.3,150.8,61.1,2.1,59.0,122.2,51.7,3.3,50.0,63.2,71.0,"..",74.8,146.6,49.0,1.1,48.5,71.8,766.8,46.4,381.7,1194.9,68.1,5.7,64.2,813.2,265.4,14.7,114.3,394.4,71.0,5.2,67.3,280.1,321.2,10.2,126.9,458.3,72.3,3.1,70.1,331.4
"2014Q4",118.7,20.4,96.0,235.1,59.2,14.6,50.5,139.1,38.7,6.1,25.4,70.2,63.9,13.6,55.1,44.8,54.1,5.2,16.8,76.1,77.9,8.8,71.0,59.2,515.4,22.4,103.1,640.8,83.9,4.2,80.4,537.8,168.1,7.7,26.4,202.2,87.0,4.4,83.1,175.8,193.8,5.5,27.5,226.8,87.9,2.8,85.4,199.3,155.3,3.8,167.7,326.8,48.7,2.4,47.5,159.1,64.1,1.8,58.4,124.3,53.0,2.8,51.6,65.9,78.2,"..",78.9,157.8,50.0,1.0,49.5,79.0,789.5,46.5,366.8,1202.8,69.5,5.6,65.6,836.0,270.9,15.7,110.1,396.7,72.2,5.5,68.3,286.6,326.0,11.5,123.2,460.8,73.3,3.4,70.8,337.5
"2015Q1",117.2,21.2,95.8,234.2,59.1,15.3,50.0,138.4,38.4,6.6,25.9,70.9,63.4,14.6,54.2,45.0,53.9,4.7,21.2,79.8,73.4,8.0,67.5,58.6,515.3,25.7,98.9,639.9,84.5,4.8,80.5,541.0,166.9,8.0,25.3,200.2,87.4,4.6,83.4,174.9,200.9,3.8,26.7,231.4,88.5,1.8,86.8,204.7,158.4,7.7,170.8,336.9,49.3,4.7,47.0,166.1,63.5,1.6,62.9,128.1,50.9,2.5,49.6,65.2,73.3,"..",78.0,152.2,48.8,1.3,48.1,74.2,790.9,54.6,365.5,1211.0,69.8,6.5,65.3,845.5,268.8,16.2,114.1,399.2,71.4,5.7,67.3,285.1,328.1,9.4,125.9,463.4,72.8,2.8,70.8,337.5
"2015Q2",108.8,15.9,106.6,231.4,53.9,12.8,47.0,124.7,41.8,6.7,26.7,75.1,64.5,13.8,55.6,48.5,55.6,5.1,23.9,84.5,71.8,8.3,65.8,60.7,515.7,28.4,97.2,641.3,84.9,5.2,80.4,544.2,167.8,6.6,25.4,199.8,87.3,3.8,84.0,174.5,197.4,4.1,27.8,229.3,87.9,2.0,86.1,201.5,159.5,5.2,180.9,345.6,47.6,3.1,46.1,164.6,61.8,1.5,62.6,125.9,50.2,2.3,49.1,63.3,70.6,1.1,82.2,153.8,46.6,1.5,45.9,71.6,784.0,49.6,384.7,1218.2,68.4,5.9,64.4,833.5,271.4,14.8,114.7,400.9,71.4,5.2,67.7,286.2,323.6,10.2,133.9,467.7,71.4,3.1,69.2,333.8
"2015Q3",102.5,19.1,108.5,230.1,52.9,15.7,44.5,121.6,38.6,7.5,28.0,74.1,62.2,16.2,52.1,46.1,57.3,5.3,24.0,86.6,72.3,8.5,66.2,62.6,511.7,21.8,107.7,641.1,83.2,4.1,79.8,533.4,167.9,8.2,25.5,201.7,87.3,4.7,83.3,176.1,201.0,5.9,30.1,237.0,87.3,2.9,84.8,206.9,161.4,5.2,187.6,354.2,47.0,3.1,45.6,166.6,61.3,2.2,63.2,126.7,50.1,3.5,48.4,63.5,68.9,1.0,78.9,148.8,47.0,1.5,46.3,69.9,775.6,46.1,403.7,1225.4,67.1,5.6,63.3,821.7,267.8,17.9,116.7,402.4,71.0,6.3,66.5,285.7,327.2,12.3,133.0,472.4,71.8,3.6,69.3,339.4
"2015Q4",124.1,17.9,90.8,232.8,61.0,12.6,53.3,142.0,42.9,7.4,23.3,73.6,68.4,14.7,58.3,50.4,54.6,6.0,28.9,89.5,67.7,9.9,61.0,60.6,515.8,20.5,104.3,640.6,83.7,3.8,80.5,536.3,174.6,6.4,25.0,206.0,87.9,3.5,84.8,181.0,207.5,4.2,30.5,242.1,87.4,2.0,85.7,211.7,166.6,4.7,189.4,360.8,47.5,2.8,46.2,171.4,62.1,1.9,61.2,125.2,51.1,2.9,49.6,64.0,67.2,1.3,76.2,144.7,47.3,1.9,46.4,68.5,806.5,43.1,384.5,1234.1,68.8,5.1,65.4,849.7,279.7,15.7,109.5,404.8,73.0,5.3,69.1,295.3,329.3,11.4,135.6,476.3,71.5,3.4,69.1,340.7
"2016Q1",123.5,21.4,95.0,239.9,60.4,14.8,51.5,144.9,43.5,7.3,23.2,74.0,68.7,14.4,58.8,50.8,52.0,4.1,26.3,82.3,68.1,7.3,63.1,56.0,517.4,25.1,103.0,645.4,84.0,4.6,80.2,542.5,176.0,7.7,27.2,210.9,87.1,4.2,83.5,183.7,213.3,4.2,27.1,244.6,88.9,1.9,87.2,217.5,165.4,5.9,186.6,357.9,47.9,3.4,46.2,171.3,59.1,2.5,60.8,122.4,50.3,4.1,48.3,61.6,71.4,1.2,80.8,153.4,47.3,1.6,46.5,72.6,806.3,52.3,384.6,1243.2,69.1,6.1,64.9,858.6,278.6,17.5,111.2,407.3,72.7,5.9,68.4,296.1,336.6,9.4,134.2,480.3,72.1,2.7,70.1,346.1
