"Totals - Electronic card transactions by division, percentage changes (Monthly)","","","","","","","","","","","",""
"","Actual","","","","","","Seasonally adjusted","","","","",""
" ","RTS total industries","","RTS core industries","","Total","","RTS total industries","","RTS core industries","","Total",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"2015M11",4.6,"..",6.0,"..",5.2,"..","..",0.8,"..",0.9,"..",0.5
"2015M12",6.6,"..",7.3,"..",6.6,"..","..",0.8,"..",1.1,"..",1.2
"2016M01",5.2,"..",5.7,"..",5.1,"..","..",-0.5,"..",-0.3,"..",-0.3
"2016M02",9.3,"..",10.5,"..",9.5,"..","..",0.2,"..",0.8,"..",-0.2
"2016M03",6.2,"..",7.4,"..",5.9,"..","..",0.8,"..",0.8,"..",0.3
"2016M04",7.8,"..",8.9,"..",8.6,"..","..",0.6,"..",0.1,"..",2.3
"2016M05",3.3,"..",4.6,"..",4.0,"..","..",0.2,"..",0.5,"..",-1.0
"2016M06",6.8,"..",8.5,"..",6.5,"..","..",0.9,"..",0.8,"..",1.2
"2016M07",5.8,"..",8.3,"..",4.5,"..","..",0.8,"..",0.9,"..",0.8
"2016M08",3.2,"..",4.4,"..",4.2,"..","..",-1.3,"..",-1.1,"..",-1.5
"2016M09",6.1,"..",7.6,"..",6.3,"..","..",1.5,"..",1.3,"..",1.6
"2016M10",4.2,"..",5.2,"..",4.2,"..","..",0.6,"..",0.7,"..",0.9
"2016M11",5.1,"..",5.5,"..",5.8,"..","..",-0.2,"..",-0.4,"..",-0.4
"2016M12",5.8,"..",5.9,"..",5.3,"..","..",0.5,"..",0.2,"..",0.7
"2017M01",10.4,"..",10.4,"..",12.8,"..","..",6.7,"..",7.0,"..",8.3
"2017M02",7.2,"..",6.7,"..",9.1,"..","..",-1.0,"..",-1.0,"..",-0.8
"2017M03",10.6,"..",10.6,"..",14.2,"..","..",0.2,"..",0.6,"..",0.5
"2017M04",8.9,"..",9.4,"..",9.6,"..","..",0.7,"..",0.8,"..",1.0
"2017M05",10.3,"..",10.6,"..",13.9,"..","..",0.2,"..",0.4,"..",0.3
"2017M06",9.3,"..",10.5,"..",12.1,"..","..",-0.2,"..",0.2,"..",-0.2
"2017M07",7.1,"..",8.5,"..",9.7,"..","..",0.0,"..",0.3,"..",0.2
"2017M08",10.3,"..",11.2,"..",13.6,"..","..",0.3,"..",0.1,"..",0.4
"2017M09",8.7,"..",9.5,"..",11.1,"..","..",0.1,"..",0.1,"..",0.2
"2017M10",7.7,"..",8.6,"..",11.1,"..","..",1.4,"..",1.5,"..",1.3
"2017M11",11.3,"..",12.1,"..",14.4,"..","..",0.7,"..",0.2,"..",0.9
"2017M12",8.4,"..",8.8,"..",10.3,"..","..",0.8,"..",0.4,"..",0.4
"2018M01",4.8,"..",4.8,"..",5.6,"..","..",1.0,"..",1.0,"..",0.4
"2018M02",4.7,"..",5.1,"..",5.0,"..","..",-0.6,"..",-0.5,"..",-0.2
"2018M03",7.0,"..",7.7,"..",5.6,"..","..",1.7,"..",2.1,"..",0.9
"2018M04",2.2,"..",2.3,"..",3.9,"..","..",-2.1,"..",-2.3,"..",-0.3
"2018M05",4.6,"..",4.5,"..",4.8,"..","..",0.8,"..",0.7,"..",0.3
"2018M06",5.5,"..",5.0,"..",5.1,"..","..",0.7,"..",0.4,"..",0.7
"2018M07",4.4,"..",3.4,"..",5.1,"..","..",0.4,"..",0.6,"..",0.4
"2018M08",6.7,"..",6.0,"..",6.5,"..","..",1.0,"..",0.8,"..",0.6
"2018M09",6.0,"..",5.5,"..",5.4,"..","..",0.6,"..",0.6,"..",0.9
"2018M10",6.2,"..",5.3,"..",6.6,"..","..",0.8,"..",1.0,"..",0.4
"2018M11",4.7,"..",5.4,"..",4.4,"..","..",-1.2,"..",-0.4,"..",-0.9
"2018M12",1.3,"..",2.7,"..",1.8,"..","..",-0.5,"..",-0.1,"..",-0.1
"2019M01",4.0,"..",5.8,"..",4.6,"..","..",1.7,"..",2.1,"..",1.2
"2019M02",3.8,"..",5.4,"..",3.9,"..","..",0.1,"..",0.2,"..",0.0
"2019M03",1.0,"..",2.2,"..",1.8,"..","..",-0.3,"..",-0.4,"..",-0.1
"2019M04",4.9,"..",6.0,"..",5.0,"..","..",0.6,"..",0.3,"..",0.8
"2019M05",3.5,"..",4.9,"..",3.9,"..","..",-1.0,"..",-0.9,"..",-0.7
"2019M06",1.6,"..",3.6,"..",1.6,"..","..",-0.1,"..",0.1,"..",0.2
"2019M07",2.1,"..",3.6,"..",3.3,"..","..",0.0,"..",0.0,"..",-0.1
"2019M08",3.2,"..",5.3,"..",3.3,"..","..",1.4,"..",1.4,"..",1.2
"2019M09",0.8,"..",2.5,"..",2.3,"..","..",0.1,"..",0.1,"..",0.1
"2019M10",1.9,"..",3.7,"..",3.1,"..","..",0.5,"..",0.7,"..",0.6
"2019M11",5.3,"..",6.5,"..",4.4,"..","..",2.2,"..",2.3,"..",1.1
"2019M12",4.4,"..",4.7,"..",3.8,"..","..",0.7,"..",0.6,"..",0.2
"2020M01",4.6,"..",4.7,"..",4.2,"..","..",0.1,"..",0.0,"..",0.2
"2020M02",8.9,"..",9.5,"..",7.8,"..","..",0.8,"..",1.0,"..",0.7
"2020M03",-2.0,"..",0.6,"..",-6.8,"..","..",-5.2,"..",-3.0,"..",-9.8
"2020M04",-47.2,"..",-43.4,"..",-50.8,"..","..",-47.1,"..",-45.0,"..",-47.7
"2020M05",-6.2,"..",-2.7,"..",-13.1,"..","..",76.9,"..",70.9,"..",78.7
"2020M06",7.9,"..",10.0,"..",4.3,"..","..",15.7,"..",14.5,"..",17.9
"2020M07",11.2,"..",13.1,"..",6.2,"..","..",1.0,"..",0.6,"..",1.4
"2020M08",-1.1,"..",1.1,"..",-5.4,"..","..",-7.4,"..",-7.2,"..",-7.2
"2020M09",9.7,"..",11.8,"..",5.7,"..","..",8.8,"..",8.9,"..",8.7
"2020M10",8.3,"..",10.5,"..",3.6,"..","..",-1.2,"..",-1.4,"..",-0.9
"2020M11",2.6,"..",4.7,"..",0.1,"..","..",-0.5,"..",-0.1,"..",-0.1
"2020M12",3.9,"..",5.2,"..",2.3,"..","..",-0.2,"..",-0.8,"..",-0.2
"2021M01",1.7,"..",3.4,"..",-2.0,"..","..",-1.5,"..",-1.7,"..",-2.0
"2021M02",-5.2,"..",-4.1,"..",-7.9,"..","..",-1.7,"..",-1.5,"..",-2.6
"2021M03",6.3,"..",5.1,"..",9.0,"..","..",1.3,"..",1.2,"..",1.7
"2021M04",109.8,"..",99.6,"..",117.9,"..","..",4.4,"..",4.2,"..",4.8
"2021M05",19.7,"..",18.2,"..",23.6,"..","..",2.1,"..",2.3,"..",2.8
"2021M06",5.5,"..",4.9,"..",6.8,"..","..",0.7,"..",0.6,"..",0.5
"2021M07",5.1,"..",4.9,"..",6.2,"..","..",0.2,"..",-0.2,"..",1.2
"2021M08",-10.8,"..",-9.8,"..",-11.3,"..","..",-20.1,"..",-18.4,"..",-22.3
"2021M09",-16.2,"..",-15.7,"..",-16.7,"..","..",0.7,"..",0.0,"..",1.2
"2021M10",-7.2,"..",-7.3,"..",-8.3,"..","..",11.1,"..",10.0,"..",11.2
"2021M11",2.2,"..",1.6,"..",1.3,"..","..",8.1,"..",8.3,"..",8.0
"2021M12",4.5,"..",3.9,"..",4.1,"..","..",2.2,"..",1.6,"..",3.2
"2022M01",5.8,"..",5.3,"..",4.9,"..","..",0.6,"..",0.3,"..",-0.3
"2022M02",1.2,"..",0.4,"..",1.4,"..","..",-6.6,"..",-6.5,"..",-6.3
"2022M03",-0.4,"..",-1.1,"..",1.4,"..","..",-1.1,"..",-1.1,"..",1.2
"2022M04",2.0,"..",1.8,"..",3.2,"..","..",7.3,"..",7.5,"..",7.2
"2022M05",0.6,"..",-0.5,"..",3.3,"..","..",2.2,"..",1.8,"..",3.2
"2022M06",1.8,"..",0.7,"..",3.1,"..","..",0.3,"..",-0.1,"..",-0.7
"2022M07",0.7,"..",0.3,"..",1.0,"..","..",0.5,"..",0.8,"..",1.0
"2022M08",27.9,"..",25.4,"..",33.4,"..","..",0.5,"..",1.1,"..",0.4
