date,Auckland_15-24_Years_unemployment_rate,Wellington_15-24_Years_unemployment_rate,Canterbury_15-24_Years_unemployment_rate,Auckland_25-54_Years_unemployment_rate,Wellington_25-54_Years_unemployment_rate,Canterbury_25-54_Years_unemployment_rate,Auckland_Total_All_Ages_unemployment_rate,Wellington_Total_All_Ages_unemployment_rate,Canterbury_Total_All_Ages_unemployment_rate,Auckland_55+_Years_unemployment_rate,Wellington_55+_Years_unemployment_rate,Canterbury_55+_Years_unemployment_rate
2013-07-01,15.7,14.3,10.3,4.5,4.0,2.8,3.6,3.4,2.2,6.0,5.5,3.9
2013-10-01,14.6,17.7,7.2,4.0,4.0,2.7,3.3,3.0,1.2,5.6,6.1,3.1
2014-01-01,16.7,12.1,8.6,5.0,3.9,2.1,4.0,3.4,1.9,6.7,5.1,3.2
2014-04-01,14.5,13.2,6.8,4.0,4.1,1.9,4.7,2.1,1.3,5.8,5.0,2.6
2014-07-01,13.9,13.7,7.1,4.6,3.9,2.7,2.7,3.3,1.1,5.7,5.2,3.1
2014-10-01,14.6,13.6,8.8,4.2,4.4,2.8,2.4,2.8,1.0,5.6,5.5,3.4
2015-01-01,15.3,14.6,8.0,4.8,4.6,1.8,4.7,2.5,1.3,6.5,5.7,2.8
2015-04-01,12.8,13.8,8.3,5.2,3.8,2.0,3.1,2.3,1.5,5.9,5.2,3.1
2015-07-01,15.7,16.2,8.5,4.1,4.7,2.9,3.1,3.5,1.5,5.6,6.3,3.6
2015-10-01,12.6,14.7,9.9,3.8,3.5,2.0,2.8,2.9,1.9,5.1,5.3,3.4
2016-01-01,14.8,14.4,7.3,4.6,4.2,1.9,3.4,4.1,1.6,6.1,5.9,2.7
2016-04-01,12.5,12.3,6.0,3.3,4.0,3.3,3.4,3.5,1.2,4.7,5.3,3.2
2016-07-01,13.3,10.8,9.6,3.9,3.6,3.2,3.5,2.9,1.7,5.3,4.7,3.9
2016-10-01,12.3,16.1,9.3,3.9,4.1,2.5,2.8,1.9,2.2,5.1,5.6,3.6
2017-01-01,14.3,14.1,9.5,3.4,3.4,3.3,2.4,3.1,1.7,5.0,5.1,4.0
2017-04-01,12.4,13.5,12.2,3.4,3.3,2.3,2.5,2.8,2.0,4.5,4.9,3.8
2017-07-01,13.2,12.8,8.3,3.2,3.5,3.0,2.7,1.9,2.0,4.6,4.6,3.6
2017-10-01,11.5,9.6,11.3,2.9,3.2,3.0,2.2,1.1,1.2,4.1,3.8,4.0
2018-01-01,12.6,12.1,10.4,3.3,3.6,2.5,2.2,2.5,1.8,4.5,4.8,3.6
2018-04-01,11.8,11.8,12.7,3.0,3.7,2.9,2.6,2.1,1.8,4.2,4.7,4.0
2018-07-01,9.3,12.1,7.6,3.0,3.3,2.8,2.0,2.3,2.8,3.7,4.4,3.5
2018-10-01,13.8,13.9,10.6,2.8,2.4,2.7,2.1,3.5,1.6,4.3,4.4,3.7
2019-01-01,12.7,10.7,11.9,3.3,2.0,2.8,1.8,3.4,2.5,4.4,3.7,4.0
2019-04-01,10.3,9.2,11.1,3.2,2.2,2.5,3.1,3.2,1.4,4.2,3.4,3.5
2019-07-01,11.9,5.7,9.6,3.1,2.3,2.9,2.2,2.8,1.7,4.2,2.9,3.6
2019-10-01,12.3,9.3,12.0,2.9,2.6,2.1,2.0,4.3,2.2,4.1,3.9,3.6
2020-01-01,13.1,11.6,12.0,3.7,2.8,2.4,2.2,4.4,2.2,4.8,4.5,4.0
2020-04-01,10.1,11.9,9.3,3.3,2.7,3.0,2.1,2.8,2.5,4.0,4.1,3.8
2020-07-01,12.5,12.3,15.1,4.8,3.9,2.4,3.9,2.5,3.1,5.6,4.9,4.5
2020-10-01,14.7,13.2,13.4,4.0,3.4,3.0,2.9,3.1,2.1,5.3,4.6,4.3
2021-01-01,14.1,14.5,13.3,4.2,3.0,3.4,2.6,2.4,1.9,5.3,4.6,4.5
2021-04-01,10.5,11.4,10.2,3.2,2.6,3.2,2.1,2.9,2.3,4.1,4.0,3.9
2021-07-01,9.0,7.3,10.3,2.5,2.4,2.6,1.3,1.3,1.5,3.1,2.9,3.4
2021-10-01,8.2,6.6,8.5,2.5,2.2,2.4,1.3,1.8,1.9,3.0,2.9,3.2
2022-01-01,12.6,8.6,8.6,2.5,1.6,2.4,1.1,2.1,2.3,3.6,2.9,3.3
2022-04-01,9.0,5.9,7.2,2.8,2.4,2.8,1.4,1.5,3.0,3.4,2.7,3.5
2022-07-01,9.4,6.3,8.5,2.5,2.5,2.1,1.5,1.7,1.4,3.3,2.9,2.9
2022-10-01,10.8,8.7,9.2,2.1,1.6,2.2,2.3,1.5,1.5,3.5,2.8,3.1
2023-01-01,8.7,10.2,9.7,2.6,1.9,2.1,2.2,1.9,2.3,3.4,3.5,3.3
2023-04-01,9.2,7.4,7.2,2.9,2.0,2.2,2.3,1.3,1.8,3.6,2.8,2.8
2023-07-01,11.3,7.5,12.9,2.9,1.8,2.3,2.7,2.2,2.5,4.0,2.9,4.0
2023-10-01,11.9,10.3,11.9,3.0,2.1,2.6,2.9,1.5,0.9,4.2,3.3,3.6
2024-01-01,15.6,16.2,15.7,3.2,2.4,2.8,2.7,2.4,2.0,4.8,4.7,4.6
2024-04-01,13.5,14.3,13.3,3.3,2.6,2.7,3.3,2.3,2.3,4.6,4.3,4.2
2024-07-01,15.3,11.9,12.0,3.8,3.0,4.0,3.5,2.4,2.4,5.2,4.2,4.8
2024-10-01,16.3,12.5,15.6,4.1,3.5,2.9,2.2,3.1,2.3,5.4,4.9,4.7
2025-01-01,17.8,15.1,17.0,5.0,3.7,3.2,3.5,1.5,1.6,6.5,5.2,4.9
2025-04-01,17.6,9.0,16.5,4.8,3.5,3.1,2.9,2.5,2.7,6.1,4.2,5.0
